yoram_year,major,subject_code,subject_name,recom_year,category,major1_prop,major2_prop,credit
2019,경영학,MGT2002,경영통계학,1,1,전공입문,전공입문,3
2019,경영학,ECO2004,경제통계학,1,1,전공입문,전공입문,3
2019,경영학,MAT3020,통계학입문,1,1,전공입문,전공입문,3
2019,경영학,STS2004,대학수학,2,2,전공입문,전공입문,3
2019,경영학,STS2005,미적분학I,2,2,전공입문,전공입문,3
2019,경영학,STS2006,미적분학II,2,2,전공입문,전공입문,3
2019,경영학,ECO2001,경제학원론I,2,,전공입문,전공입문,3
2019,경영학,ECO2002,경제학원론II,2,,전공입문,전공입문,3
2019,경영학,MGT2003,회계학원론,3,,전공필수,전공필수,3
2019,경영학,MGT3001,조직행동이론,3,,전공필수,전공필수,3
2019,경영학,MGT3003,생산관리론,3,,전공필수,전공필수,3
2019,경영학,MGT3004,재무관리,3,,전공필수,전공필수,3
2019,경영학,MGT3006,마케팅원론,3,,전공필수,전공필수,3
2019,경영학,MGT3002,경영정보시스템,3,3_3,전공필수,전공필수,3
2019,경영학,MGT3005,관리회계,3,3_3,전공필수,전공필수,3
2019,경영학,MGT3007,국제경영론,3,3_3,전공필수,전공필수,3
2019,경영학,MGT4102,경영전략,4,3_3,전공필수,전공필수,3
2019,경영학,MGT4105,기업윤리,4,3_3,전공필수,전공필수,3
2019,경영학,MGT4101,경영전략시뮬레이션,4,,전공선택,전공선택,3
2019,경영학,MGT4103,조직구조와전략,4,,전공선택,전공선택,3
2019,경영학,MGT4104,리더쉽이론,4,,전공선택,전공선택,3
2019,경영학,MGT4106,인적자원관리,4,,전공선택,전공선택,3
2019,경영학,MGT4107,노사관계론,4,,전공선택,전공선택,3
2019,경영학,MGT4201,의사결정론,4,,전공선택,전공선택,3
2019,경영학,MGT4202,통계자료분석,4,,전공선택,전공선택,3
2019,경영학,MGT4203,경영과학,4,,전공선택,전공선택,3
2019,경영학,MGT4204,시뮬레이션,4,,전공선택,전공선택,3
2019,경영학,MGT4207,응용경영통계,4,,전공선택,전공선택,3
2019,경영학,MGT4226,빅데이터와비즈니스인텔리젼스,4,,전공선택,전공선택,3
2019,경영학,MGT4229,미래창업을위한창의성과창의경영,4,,전공선택,전공선택,3
2019,경영학,MGT4241,기술경영,4,,전공선택,전공선택,3
2019,경영학,MGT4244,로지스틱스와생산전략,4,,전공선택,전공선택,3
2019,경영학,MGT4248,비즈니스프로세스관리,4,,전공선택,전공선택,3
2019,경영학,MGT4301,투자론,4,,전공선택,전공선택,3
2019,경영학,MGT4303,파생상품론,4,,전공선택,전공선택,3
2019,경영학,MGT4304,포트폴리오관리,4,,전공선택,전공선택,3
2019,경영학,MGT4308,벤처캐피탈과투자분석(캡스톤디자인),4,,전공선택,전공선택,3
2019,경영학,MGT4311,금융실무,4,,전공선택,전공선택,2
2019,경영학,MGT4312,금융투자산업의이해(캡스톤디자인),4,,전공선택,전공선택,3
2019,경영학,MGT4313,벤처와금융시장(캡스톤디자인),4,,전공선택,전공선택,3
2019,경영학,MGT4331,보험학원론,4,,전공선택,전공선택,3
2019,경영학,MGT4401,중급회계I,4,,전공선택,전공선택,3
2019,경영학,MGT4402,중급회계II,4,,전공선택,전공선택,3
2019,경영학,MGT4403,고급회계,4,,전공선택,전공선택,3
2019,경영학,MGT4404,원가회계,4,,전공선택,전공선택,3
2019,경영학,MGT4406,세무회계,4,,전공선택,전공선택,3
2019,경영학,MGT4501,마케팅전략,4,,전공선택,전공선택,3
2019,경영학,MGT4502,소비자행동론,4,,전공선택,전공선택,3
2019,경영학,MGT4503,시장조사론,4,,전공선택,전공선택,3
2019,경영학,MGT4505,브랜드전략론,4,,전공선택,전공선택,3
2019,경영학,MGT4507,유통전략론,4,,전공선택,전공선택,3
2019,경영학,MGT4510,국제마케팅론,4,,전공선택,전공선택,3
2019,경영학,MGT4511,마케팅관리,4,,전공선택,전공선택,3
2019,경영학,MGT4513,마케팅최신주제및사례연구,4,,전공선택,전공선택,3
2019,경영학,MGT4514,아시아마케팅,4,,전공선택,전공선택,3
2019,경영학,MGT4515,빅데이터마케팅,4,,전공선택,전공선택,3
2019,경영학,MGT4604,국제경영전략,4,,전공선택,전공선택,3
2019,경영학,MGT4605,무역경영관리,4,,전공선택,전공선택,3
2019,경영학,MGT4607,국제금융시장론,4,,전공선택,전공선택,3
2019,경영학,MGT4609,외환론,4,,전공선택,전공선택,3
2019,경영학,MGT4701,경영영어라이팅,4,,전공선택,전공선택,3
2019,경영학,MGT4704,CEO경영특강,4,,전공선택,전공선택,2
2019,경영학,MGT4711,산업분석연구,4,,전공선택,전공선택,3
2019,경영학,MGT4709,기업과사회,4,,전공선택,전공선택,3
2019,경영학,MGT4711,산업분석연구,4,,전공선택,전공선택,3
2019,경영학,MGT4712,"지식,인성그리고경영",4,,전공선택,전공선택,3
2019,경영학,MGT4713,사회적가치창출프랙티컴,4,,전공선택,전공선택,3
2019,경영학,COR1007,성찰과성장I,1,,공통필수,공통필수,1
2019,경영학,COR1012,인문사회글쓰기,1,,공통필수,공통필수,3
2019,경영학,COR1003,영어글로벌의사소통I,1,11,공통필수,공통필수,3
2019,경영학,LCS2001,독일언어와문화I,1,11,공통필수,공통필수,3
2019,경영학,LCS2003,프랑스언어와문화I,1,11,공통필수,공통필수,3
2019,경영학,LCS2005,중국언어와문화I,1,11,공통필수,공통필수,3
2019,경영학,LCS2007,일본언어와문화I,1,11,공통필수,공통필수,3
2019,경영학,LCU4021,초급라틴어,2,11,공통필수,공통필수,3
2019,경영학,LCU4025,초급이탈리아어,2,11,공통필수,공통필수,3
2019,경영학,LCU4030,초급스페인어,2,11,공통필수,공통필수,3
2019,경영학,LCU4035,초급러시아어,2,11,공통필수,공통필수,3
2019,경영학,LCU4105,초급아랍어,2,11,공통필수,공통필수,3
2019,경영학,COR1009,컴퓨팅사고력,1,,공통필수,공통필수,3
2019,경영학,COR1015,알바트로스세미나,1,,공통필수,공통필수,1
2019,경영학,HFS2001,철학적인간학,2,12,공통선택,공통선택,3
2019,경영학,HFS2002,신학적인간학,2,12,공통선택,공통선택,3
2019,경영학,HFS2003,그리스도교윤리,2,12,공통선택,공통선택,3
2019,경영학,HFU4023,진·선·미·성,2,12,공통선택,공통선택,3
2019,경영학,HFU4012,그리스도교신앙과영성,2,12,공통선택,공통선택,3
2019,경영학,ETS2001,현대세계와윤리문제,2,13,공통선택,공통선택,3
2019,경영학,ETS2002,논리와비판적사고,2,13,공통선택,공통선택,3
2019,경영학,ETS2004,종교와세계문화,2,13,공통선택,공통선택,3
2019,경영학,CHS2002,현대한국의형성,2,13,공통선택,공통선택,3
2019,경영학,CHS2003,현대동아시아의형성,2,13,공통선택,공통선택,3
2019,경영학,CHS2004,현대서양의형성,2,13,공통선택,공통선택,3
2019,경영학,SHS2001,현대사회의이해,1,14,공통선택,공통선택,3
2019,경영학,SHS2002,한국과세계,1,14,공통선택,공통선택,3
2019,경영학,SHS2003,커뮤니케이션과사회,1,14,공통선택,공통선택,3
2019,경영학,SHS2007,생활속의심리학,1,14,공통선택,공통선택,3
2019,경영학,SHS2005,법과지식산업,1,14,공통선택,공통선택,3
2019,경영학,STS2001,자연과인간,2,15,공통선택,공통선택,3
2019,경영학,STS2002,생명과환경,2,15,공통선택,공통선택,3
2019,경영학,STU4011,우주와원자시대,2,15,공통선택,공통선택,3
2019,경영학,STS2011,기초빅데이터프로그래밍,2,15,공통선택,공통선택,3
2019,경영학,STS2010,과학사,2,15,공통선택,공통선택,3
2019,융합소프트웨어,CSW2010,기초C언어,2,,전공필수,전공필수,3
2019,융합소프트웨어,CSW2020,기초JAVA언어,2,,전공필수,전공필수,3
2019,융합소프트웨어,CSW2030,자료구조입문,2,,전공필수,전공필수,3
2019,융합소프트웨어,CSW3010,알고리즘입문,3,,전공필수,전공필수,3
2019,융합소프트웨어,CSW3020,운영체제입문,3,,전공필수,전공필수,3
2019,융합소프트웨어,CSW3030,데이터베이스입문,3,,전공필수,전공필수,3
2019,융합소프트웨어,CSW3040,소프트웨어공학입문,3,,전공필수,전공필수,3
2019,융합소프트웨어,CSW4010,융합소프트웨어종합설계,4,,전공필수,전공필수,3
2019,융합소프트웨어,CSW1010,IT개론,1,,전공필수,전공필수,3
2019,융합소프트웨어,ECO2004,경제통계학,2,1,전공필수,전공필수,3
2019,융합소프트웨어,MGT2002,경영통계학,2,1,전공필수,전공필수,3
2019,융합소프트웨어,MAT3020,통계학입문,3,1,전공필수,전공필수,3
2019,융합소프트웨어,MAT2110,선형대수학,2,2,전공필수,전공필수,3
2019,융합소프트웨어,MAT3110,이산수학,3,2,전공필수,전공필수,3
2019,융합소프트웨어,ECO2003,경제수리기초,2,2,전공필수,전공필수,3
2019,융합소프트웨어,CSW3040,소프트웨어공학입문,3,3_2,전공선택,전공선택,3
2019,바이오융합,STS2005,미적분학I,1,1_5,전공입문,전공입문,3
2019,바이오융합,STS2006,미적분학II,1,1_5,전공입문,전공입문,3
2019,바이오융합,PHY1001,일반물리I,1,1_5,전공입문,전공입문,3
2019,바이오융합,PHY1002,일반물리II,1,1_5,전공입문,전공입문,3
2019,바이오융합,CHM1001,일반화학I,1,1_5,전공입문,전공입문,3
2019,바이오융합,CHM1002,일반화학II,1,1_5,전공입문,전공입문,3
2019,바이오융합,BIO1101,일반생물학I,1,1_5,전공입문,전공입문,3
2019,바이오융합,BIO1102,일반생물학II,1,1_5,전공입문,전공입문,3
2019,바이오융합,BNT3001,바이오융합기술프로젝트I,3,2_4,전공필수,전공필수,3
2019,바이오융합,BNT3001,바이오융합기술프로젝트II,3,2_4,전공필수,전공필수,3
2019,바이오융합,BNT3006,의공학개론I,3,2_4,전공필수,전공필수,3
2019,바이오융합,BNT3008,분자생물공학,3,2_4,전공필수,전공필수,3
2019,바이오융합,CHM2601,생화학I,3,2_4,전공필수,전공필수,3
2019,바이오융합,BNTG001,바이오테크놀로지,3,2_4,전공필수,전공필수,3
2019,바이오융합,BNTG005,바이오측정기기,3,2_4,전공필수,전공필수,3
2019,바이오융합,BNTG009,생물물리화학,3,2_4,전공필수,전공필수,3
2019,바이오융합,BNTG032,의공학개론II,3,2_4,전공필수,전공필수,3
2019,바이오융합,BNT3005,나노정보소재공학,3,,전공선택,전공선택,3
2019,바이오융합,BNT3007,유전정보공학,3,,전공선택,전공선택,3
2019,바이오융합,BNT3009,바이오모방공학개론,3,,전공선택,전공선택,3
2019,바이오융합,BNT3011,전이금속화학,3,,전공선택,전공선택,3
2019,바이오융합,BNT3012,환경공학,3,,전공선택,전공선택,3
2019,바이오융합,BNT3091,특수연구I,3,,전공선택,전공선택,3
2019,바이오융합,BNT3092,특수연구II,3,,전공선택,전공선택,3
2019,바이오융합,CHM2602,생화학II,3,,전공선택,전공선택,3
2019,국어국문학,HSS3012,동서고전세미나,2,1,전공입문,전공입문,3
